Product_ID,Product_Name,Quantity,Price,Discount
P001,Realize,878,249.81,15.0
P002,Process,471,263.44,
P003,Nature,329,157.08,10.0
P004,Space,521,385.53,0.0
P005,Art,73,383.83,0.0
P006,President,140,207.11,5.0
P007,Every,252,292.44,10.0
P008,His,866,383.92,20.0
P009,Quite,138,9.12,5.0
P010,Dream,428,146.86,
P011,Daughter,277,438.19,0.0
P012,Government,657,362.28,5.0
P013,Indicate,418,100.18,5.0
P014,So,498,94.39,10.0
P015,Today,160,70.9,
P016,Mean,940,209.38,
P017,Activity,174,237.01,0.0
P018,Enjoy,897,117.49,5.0
P019,Around,873,499.92,5.0
P020,Food,855,151.16,20.0
P021,White,284,98.74,15.0
P022,Seem,940,158.08,15.0
P023,Half,181,367.88,5.0
P024,Statement,472,220.84,15.0
P025,Man,69,351.49,
P026,Whether,318,164.1,
P027,Their,330,91.2,10.0
P028,Must,876,54.76,15.0
P029,High,197,212.21,0.0
P030,Major,23,251.94,5.0
P031,Determine,878,238.27,5.0
P032,New,143,377.19,
P033,Knowledge,289,89.83,15.0
P034,End,349,173.77,5.0
P035,Now,326,325.74,0.0
P036,Collection,364,499.76,15.0
P037,Leader,942,462.26,0.0
P038,Behavior,723,271.62,15.0
P039,Ball,125,453.66,20.0
P040,Range,753,446.57,
P041,Attention,131,305.82,15.0
P042,Half,262,21.98,10.0
P043,Thus,846,416.94,0.0
P044,Position,675,279.93,5.0
P045,Art,805,128.87,5.0
P046,Better,698,286.3,0.0
P047,Own,907,381.46,5.0
P048,Peace,355,278.0,10.0
P049,Seven,263,472.66,5.0
P050,Pass,789,392.65,5.0
P051,Couple,354,125.46,5.0
P052,Door,864,359.26,0.0
P053,Republican,102,217.29,10.0
P054,Land,344,371.59,10.0
P055,Kid,929,100.88,
P056,Page,707,384.4,0.0
P057,Sit,684,83.69,10.0
P058,Range,362,8.39,0.0
P059,Few,517,101.82,10.0
P060,Together,118,236.0,10.0
P061,Policy,999,193.7,0.0
P062,Fear,681,271.71,15.0
P063,Technology,353,372.15,5.0
P064,Paper,431,397.92,15.0
P065,Man,516,364.22,
P066,Director,924,81.29,0.0
P067,Understand,28,361.89,0.0
P068,Improve,799,143.67,
P069,Under,999,415.29,10.0
P070,Response,663,310.04,0.0
P071,Source,188,388.46,15.0
P072,Include,181,380.52,20.0
P073,Why,708,490.62,10.0
P074,Response,396,459.8,15.0
P075,President,284,232.36,10.0
P076,Evidence,298,88.79,0.0
P077,Social,251,81.51,0.0
P078,Artist,876,257.35,15.0
P079,Building,682,185.95,5.0
P080,Subject,67,471.38,10.0
P081,Fine,554,361.74,10.0
P082,Same,470,272.68,5.0
P083,Always,601,469.5,5.0
P084,Decide,838,136.72,15.0
P085,Person,48,266.26,15.0
P086,Do,319,278.61,10.0
P087,Watch,916,121.68,5.0
P088,Three,244,299.28,5.0
P089,Suffer,639,376.83,0.0
P090,Thing,135,11.86,0.0
P091,Wrong,661,131.18,10.0
P092,White,898,112.17,0.0
P093,Responsibility,698,301.53,15.0
P094,Meet,949,445.46,10.0
P095,Series,325,159.07,
P096,Positive,999,154.61,0.0
P097,Region,861,422.02,5.0
P098,Man,768,9.31,10.0
P099,Religious,170,392.7,5.0
P100,Natural,974,74.72,20.0
